Listing_Title,Listing_Location,Listing_Price_CAD,Mileage_KM,Description,Listing_Url
2020 Toyota Corolla SE HEATED SEATS!! REVERSE CAMERA!! APPLE...,London,25998.00,80119,"WAS: $27498 NOW: $25998 plus taxes and licensing feesThis 2020 Toyota Corolla SE Comes Equipped with a 2.0L 4 Cyl Engine With Heated Front Seats, Bluetooth, Backup Camera, Alloy Wheels, And Much ...",https://www.kijiji.ca/v-cars-trucks/london/2020-toyota-corolla-se-heated-seats-reverse-camera-apple/m7838537
2020 Toyota Corolla LE * CAMÉRA * CLIMATISATION * BLUETOOTH * BI,City of Montréal,20997.00,100100,* Corolla * LE * 2020 * Sièges chauffants * Air climatisé * Caméra de recul * Groupe électrique * Bluetooth * Ecran tactile * Sièges chauffants * ET BEAUCOUP PLUS! * 1 PROPRIÉTAIRE * BIEN ÉQUIPÉ * ...,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2020-toyota-corolla-le-camera-climatisation-bluetooth-bi/m7805448
 2020 Toyota Corolla LE *HEATED SEATS*,Kitchener / Waterloo,22950.00,96202,"HEATED SEATS, BLUETOOTH, BACK-UP CAMERA, APPLE CARPLAY, LOADED! Toyota Safety Sense includes: Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Dynamic Radar ...",https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2020-toyota-corolla-le-heated-seats/m8004928
2020 Toyota Corolla LE,Longueuil / South Shore,22495.00,32380,"2020 Toyota Corolla LE Automatique * VISITE SUR RENDEZ-VOUS SEULEMENT * Livraison partout au Québec possible ** Tous les échanges sont acceptés, Autos, Camions, VUS, VTT, Bateaux, Remorques ETC ! ** ...",https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2020-toyota-corolla-le/m7937153
 2020 Toyota Corolla XSE CVT .. CLEAN CARFAX ..,Mississauga / Peel Region,23988.00,105720,We are fully stocked with pre owned vehicles. Make Bolton Honda your first visit - give yourself the advantage of choice! Every pre-owned vehicle at BOLTON HONDA receives an exhaustive inspection ...,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2020-toyota-corolla-xse-cvt-clean-carfax/m7904563
 2020 Toyota Corolla LE 1.8L FWD,Winnipeg,28699.00,11560,"Why Shop at McNaught Auto Outlet? Our 150+ Certified inspection leaves you confident knowing your vehicle comes with a 5,000 km or 90 day (whichever comes first) Warranty! Your vehicle will also ...",https://www.kijiji.ca/v-cars-trucks/winnipeg/2020-toyota-corolla-le-1-8l-fwd/m7170454
 2020 Toyota Corolla SE - MAGS - SIEGES CHAUFFANTS - CAMERA DE R,,23984.00,12958,,https://www.kijijiautos.ca/cars/toyota/corolla/?utm_source=kijiji&utm_medium=referral&utm_content=web_ResultsSearch&utm_campaign=xpromo_srplisting_delr_priceBadge#vip=30790757
"2020 Toyota Corolla L APPLE CARPLAY, CAMÉRA RECUL, BLUETOOTH",Longueuil / South Shore,21897.00,62171,- Nous fournissons le Carfax gratuit pour ce véhicule - Ce véhicule sera nettoyé professionnellement - Ce véhicule sera inspecté par Park Avenue Toyota Équipements: - Caméra de recul - Phares ...,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2020-toyota-corolla-l-apple-carplay-camera-recul-bluetooth/m7945144
"2020 Toyota Corolla LE CAMÉRA RECUL, RÉGULATEUR DE VITESSE ADAPT",Longueuil / South Shore,22947.00,40876,- Nous fournissons le Carfax gratuit pour ce véhicule - Ce véhicule sera nettoyagé professionnellement - Ce véhicule sera inspecter par Park Avenue Toyota Équipements: CAMERA DE RECUL PHARES AUTOMAT. ...,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2020-toyota-corolla-le-camera-recul-regulateur-de-vitesse-adapt/m8005672
"2020 Toyota Corolla HYBRID, A/C, CAM RECUL, BSM, TSS-2.0, BLUETO",City of Montréal,27290.00,42301,"COROLLA LE HYBRID 2020, A/C, CAMÉRA DE RECUL, GROUPE ÉLECTRIQUE, SIÈGES AVANT CHAUFFANTS, PUSHSTART, BLUETOOTH ET PLUS! MEILLEUR PRIX GARANTIE SUR LES ÉCHANGES! TOUS NOS VÉHICULES SONT INSPECTÉS PAR ...",https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2020-toyota-corolla-hybrid-a-c-cam-recul-bsm-tss-2-0-blueto/m8003679
2020 Toyota Corolla SE UPGRADE**FREE WINTER TIRES**,Ottawa,18777.00,101856,GET A BRAND NEW SET OF WINTER TIRES ON US!!< span>< span>< strong>< p> Why buy your next PRE-OWNED< span>< span>< strong> < span>< strong>vehicle At Kia on Hunt Club?< span>< span>< strong>< p> Our ...,https://www.kijiji.ca/v-cars-trucks/ottawa/2020-toyota-corolla-se-upgrade-free-winter-tires/m7065116
2020 Toyota Corolla SE Upgrade Manual,Ottawa,23990.00,61682,"Just IN... One Owner Local Trade-in 2020 Toyota Corolla SE Upgrade. Some of the Feature Options included in the Trim Package 2.0L 4-Cylinder Engine, 6 speed manual, 18in. Aluminum Alloy Wheels, Power ...",https://www.kijiji.ca/v-cars-trucks/ottawa/2020-toyota-corolla-se-upgrade-manual/m8010975
2020 Toyota Corolla Hatchback Corolla Hatchback SE,Ottawa,22695.00,85199,"Check out this beautiful 2020 Toyota Corolla Hatchback SE has lots to offer in reliability and dependability. It comes equipped with lots of features such as Bluetooth, cruise control, front heated ...",https://www.kijiji.ca/v-cars-trucks/ottawa/2020-toyota-corolla-hatchback-corolla-hatchback-se/m7994067
